Text;Class
I am a Full-Stack Web Developer who is very interested in web development and I want to continue to grow in programming skills.\n\nTechnical Skills :\nMy technical skill is on React JS (library javascript for Frontend), Express JS (Framework Backend), Javascript, PHP, Code Igniter.\n\nTools :\nPostgresSQL (Database), Visual studio code (Text Editor), node js\n\nMy Portofolio :\nPortofolio :\n- Chatify : https://www.chatify-frontend.vercel.app (Web App)\n- NewsApp : https://news-frontend-eta.vercel.app/ (Web App)\n- Tickitz : https://tickitz-frontend.vercel.app/ (Web App)\n- KurangGuru : https://kurangguru-frontend.vercel.app/ (Web App);0
A person who passionate about software development, technology, and general knowledge.\nSpend almost all of my time in front of my computer because I love to browsing and explore.\nHas finished building several real project using React, and bootcamp portfolios using React JS, React Native, Vue JS, JQuery, Bootstrap, Node JS, Express, MongoDB, GraphQL, Redis, mySQL, postgreSQL, Apollo Server.\n\nExperienced in Aviation, Passenger/Customer Service and Administration since 2011, makes me familiar with various work environments & colleagues, both domestic and abroad colleagues. and also make me accustomed to adapting to any environments.\n\nAnd.. let's make a connection! :D;0
Hi, saya adalah seorang web developer saya menguasai beberapa teknologi pemerograman sebagai berikut\n\n#untuk bagian Frontend saya mengunakan\n- HTML\n- CSS\n- Javascript\n- Bootstrap\n- Tailwind css\n- Pug Js\n- Ejs\n- React js\n- React native\n\n#untuk bagian backend saya mengunakan\n- Express Js\n- Mongo DB\n- SQL\n- PHP\n- Codeigniter\n\n#untuk bagian deployment atau upload code ke server\n- Docker\n- Gitlab atau Github\n\n\nsaya juga mampu membuat aplikasi mobile mengunakan react native dan beberapa aplikasi saya jadikan portofolio, jika anda ingin melihat portofolio saya anda bisa kunjungi https://exsan.my.id;0
Introducing, a Fresh Graduate of Associate degree in Computer Engineering. Experience in certain technologies such as Microcontroller, MQTT Protocol, and System Administration. doing some front-end freelance in my free time. Now I'm learning in-depth about MERN topic;0
Hi, my name is Octavian Yudha Mahendra, you can call me Yudha. I am an UI designer, and frontend developer. I am a junior programmer with good knowledge of frontend techniques. I love simple and minimalist design and also stand for quality. I like to speding time on fixing little details and optimizing Android apps. Also I like working in a team. To gain work expreience, I created a developer team by working on small to medium projects. Besides that, I have experience as a Frontend Web Developer and UI designer for two year at a software house.r;2
Skills: React.js á HTML á Node.js á JavaScript á Cascading Style Sheets (CSS) á Bootstrap á Tailwind CSS á MongoDB á Embedded JavaScript (EJS) á Express.js á React Native;0
I'm a curious person, Willing to learn and open to new things and suggestion that can build me. Excellent organization skills that allow me to multitask effectively. I'm friendly person and able to work on tasks individually or as part of a team. I able to convey and explain the presentation well and clearly. I also have several academic and non academic achievement and I highly motivated person.;0
Full Stack Developer yang memiliki ketekunan dalam belajar dan fokus dalam mengerjakan sesuatu, berpengalaman membuat projek secara individu maupun kelompok. Mampu menyelesaikan semua tugas dengan baik seperti aplikasi perpustakaan, chat dan online shop. Untuk versi web menggunakan react js sedangkan android menggunakan react native. Menguasai 2 bahasa pemrogaman dasar PHP dan Javascript;0
Experienced Frontend Web Developer with a demonstrated history of working in the information technology and services industry. Skilled in Vue.js, jQuery, AJAX, and Back-End Web Development. Strong engineering professional graduated from Universitas Ahmad Dahlan Yogyakarta.;0
I'm a Frontend Developer with a strong curiosity. I like to produce clean code. I strive to stay up-to-date with the latest technology and trends to provide the best solution for your project.;0
I love learning new things. I love seeing my web look great on all screen sizes. Responsive design and attractive user interaction is a challenge for me. And I love it.\n\nCuriosity makes a person better, and so do I. Curiosity makes me excited to learn new technology. I can learn new skills and languages quickly. So far, I have HTML, CSS, Javascript, Reactjs, SASS, Bootstrap, Nodejs, MongoDB, Nextjs, GraphQL, and Progressive Web Application (PWA) at my fingertips that I apply to projects I work on. Technology continues to evolve, so do I. I am always ready to learn new technologies that make me more advanced.;0
Hi! IÕm Alfian, a Junior Frontend Developer at Weekend Inc. Experienced Frontend Web Developer with a demonstrated history of working in the information technology and services industry.;0
I am Front End developer with indusrty experience building websites. I have experience Reactjs;0
Hello my name Bella Ramadhanty Maruf. I'm Fresh Graduate at Dinamika University (2021). I have an interest in UI UX Design and Research and capabilities in the field of product design and editing\n\nIf you want to collaborate please contact me.;2
I'm a UI UX Designer with experience in Web Programming. Which helps my clients grow their business even further.\n\nTools :\n__ Figma\n__ Visual Studio Code\n__Trello/Clickup for collaboration and project management\n__ Whimsical\n\nExpertise :\n_ Design Web & Apps(iOS and Android)\n_ Design Responsive using Figma\n_ Auto Layout & Components\n_ User Interface and User Experience Design\n_ Wireframes, prototyping, sitemap, user flow\n\n\nIf you have needs UI/UX Designer, Feel free to talk to Me to solve your design problems with me __. Even just to discuss your project idea, I'll be happy to help. I hope it is worth your time __;2
Hello I'm Asidik, a UI/UX enthusiast;2
Hello My Name Anggit Setiawan, IÕm from Indonesia and I have been working as a UI/UX designer or graphic design for more than 3 years. IÕve been freelancing for the last 5 years, and right now I am looking forward to collaborate with you!\n\nMy Expertise:\n- UI/UX design for Web and Mobile Apps.\n- Create sitemaps, wireframes, and high-fidelity design.\n- Prototyping using Figma / Adobe XD\n- Wordpress Development;2
I am a UI/UX Designer and learning media developer. I studied UI / UX Design at Binar Academy and Educational Technology in UNY. I am expert at Figma, CorelDraw, Adobe Photoshop. My other capabilities are in UI / UX Design, Book Layout Design, Logo Design and Advertising Design. By designing, I hope to provide solutions for my clients.;2
I love learning new things. I love seeing my web look great on all screen sizes. Responsive design and attractive user interaction is a challenge for me. And I love it.\n\nCuriosity makes a person better, and so do I. Curiosity makes me excited to learn new technology. I can learn new skills and languages quickly. So far, I have HTML, CSS, Javascript, Reactjs, SASS, Bootstrap, Nodejs, MongoDB, Nextjs, GraphQL, and Progressive Web Application (PWA) at my fingertips that I apply to projects I work on. Technology continues to evolve, so do I. I am always ready to learn new technologies that make me more advanced;0
Currently studying at Jember State Polytechnic. Interested in frontend development and want to build a career as a frontend developer.;0
Hi! I'm Aqil Alwan Zahid. I am Fresh Graduated Informatics Student at Amikom University of Yogyakarta and I take Programming for my majors. I am very interested in design graphic, UX Researcher, and Quality Assurance.\nI am a creative person who enjoys teamwork and I am always willing to face new challenges and learn something new.;2
Portofolio Desain Graphic;2
Programmer specialising in backend systems for websites or applications. Experienced in developing backend systems for Mobile Applications and Web Applications using JavaScript or PHP;0
I have been mobile apps developer since 2012, have built apps for startups and tech companies use native android development with Kotlin and Java, and have experience with 3rd party libraries like firebase, payment gateway, maps API, etc;1
Im one of fasilitator for Indonesia Android Academy, our vision is guide student for finish his udacity course (android beginner, intermediete, expert);1
Experienced with kotlin, also using clean architecture, MVVM framework as a base project. Keep improving with the latest Google I/O new tech. ;1
Learned to create android applications since 2017 using the Java programming language and made several small projects to hone my programming skills. In 2019, I started using Kotlin to develop android apps until now. and I have studied several android development technologies such as accessing cameras, network calls using HTTP and RTMP protocols, saving files to android devices, and making applications with offline-online concepts.;1
DevOps Engineer Specialist with experience in managing k8s on platforms like OKD, Openshift, and GKE, operating automation tools including Ansible and Terraform. Monitoring tools like Prometheus, New Relic, Datadog, Grafana;3
Maintaining Alerting and Monitoring systems with Grafana, Prometheus, Thanos, ELK\n- Maintaining CICD Platform with Jenkins and Ansible\n- Managing cross-platform services in GCP, AWS, and Alicloud\n- Creating deployment standards and git-flow with TBD\n- Maintaining our tools in Kubernetes \n- Creating self-recovery systems for our services;3
Solution oriented approach with a deep background as IT Consultant, fluently with Linux Sysadmin tasks and create applications for providing customized solution. Working as a DevOps that ensuring automation and continuous deployments.\n\nHas experience creating high performance and robust application by using Python, Ruby, NodeJS, Go and PHP. with some well known framework for each programming languange (Django, Ruby On Rails, etc). Backed with caching system (memcache & redis) with database mysql, postgresql or MongoDB. With TDD development approach.\n\nFamiliar with CI/CD knowledge and it's tooling such as Git, GitLab, Ansible, Terraform, Vault, etc.;3
